,months_as_customer,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
199,285,11/7/1994,OH,100/300,2000,1512.58,0,452496,FEMALE,College,sales,paintball,other-relative,47600,0,1/13/2015,Vehicle Theft,?,Minor Damage,Police,SC,Arlington,7,1,?,1,1,?,1960,BMW,3 Series,1997,0
200,30,6/2/2012,IL,250/500,2000,1153.35,0,430714,MALE,PhD,craft-repair,golf,not-in-family,0,0,2/2/2015,Vehicle Theft,?,Trivial Damage,Police,NY,Hillsdale,9,1,NO,2,1,YES,3840,Suburu,Impreza,2011,0
201,342,4/7/1998,OH,250/500,500,1722.95,0,472634,MALE,PhD,transport-moving,base-jumping,not-in-family,63100,-13800,2/28/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,Hillsdale,3,1,?,2,0,YES,61360,Suburu,Legacy,2006,0
202,219,4/25/2007,IN,250/500,2000,1281.07,7000000,608371,FEMALE,High School,protective-serv,board-games,unmarried,0,0,1/18/2015,Parked Car,?,Trivial Damage,Police,NY,Springfield,6,1,NO,0,2,NO,4440,Chevrolet,Malibu,2015,0
203,468,6/30/2000,IL,100/300,500,1011.92,0,468168,MALE,PhD,machine-op-inspct,paintball,wife,0,0,2/15/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,7,3,YES,0,3,?,50050,Chevrolet,Tahoe,2009,0
204,241,6/4/1996,IL,250/500,2000,1042.26,0,464107,MALE,JD,sales,kayaking,husband,0,0,1/31/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,21,3,NO,1,2,?,12720,Saab,93,1995,0
205,223,5/9/2009,OH,500/1000,500,1235.1,0,466959,FEMALE,Masters,tech-support,exercise,not-in-family,66400,-34400,2/10/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Springfield,14,1,NO,2,1,NO,43520,BMW,M5,2011,0
206,128,7/8/2001,OH,100/300,2000,768.91,0,443522,FEMALE,College,sales,chess,other-relative,0,-39300,2/26/2015,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,0,1,?,1,0,NO,47840,Ford,F150,1999,1
207,124,9/20/1993,OH,500/1000,500,1301.72,0,441726,MALE,Masters,handlers-cleaners,golf,husband,0,0,2/25/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Springfield,14,3,?,0,3,YES,57600,Audi,A3,2005,0
208,343,11/3/2009,IN,250/500,500,1451.54,3000000,473412,MALE,JD,adm-clerical,hiking,husband,0,0,1/8/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,13,4,NO,2,3,NO,43380,Mercedes,C300,2003,0
209,404,12/10/2014,IN,250/500,500,767.14,0,466201,MALE,Associate,sales,reading,not-in-family,25500,-36700,1/14/2015,Parked Car,?,Trivial Damage,Police,WV,Columbus,8,1,NO,0,1,NO,6160,Suburu,Legacy,2002,0
210,63,1/8/1994,OH,250/500,2000,1620.89,0,469621,FEMALE,High School,handlers-cleaners,movies,other-relative,0,0,2/3/2015,Vehicle Theft,?,Minor Damage,Police,NC,Hillsdale,7,1,NO,2,0,NO,4080,Toyota,Corolla,2015,0
211,210,8/5/2006,IN,500/1000,2000,1048.46,0,466676,MALE,High School,priv-house-serv,skydiving,not-in-family,59900,0,1/5/2015,Vehicle Theft,?,Trivial Damage,None,OH,Columbus,9,1,?,1,2,?,5310,Dodge,RAM,1999,0
212,335,2/7/2007,OH,100/300,1000,1538.26,6000000,615346,MALE,High School,sales,yachting,other-relative,62200,-31400,1/24/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,12,3,YES,2,3,YES,21450,Volkswagen,Passat,2009,0
213,11,4/9/2001,OH,500/1000,2000,1217.69,0,440106,FEMALE,MD,prof-specialty,reading,wife,24000,0,1/26/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,6,3,?,1,0,?,34020,Dodge,Neon,2004,1
214,142,2/17/1995,IN,100/300,2000,1362.64,5000000,450332,FEMALE,JD,exec-managerial,cross-fit,wife,0,0,1/21/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Columbus,11,1,YES,1,3,?,61020,Suburu,Legacy,2009,1
215,272,7/25/1995,OH,100/300,1000,1279.13,0,615226,MALE,PhD,craft-repair,bungie-jumping,other-relative,0,0,2/6/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,5,3,?,1,2,YES,58960,Audi,A3,2006,1
216,69,3/24/2006,IL,100/300,2000,924.72,0,437688,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0,1/7/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,14,1,NO,2,2,NO,47340,Audi,A5,2008,0
217,38,3/28/1995,OH,250/500,1000,1019.44,0,437387,MALE,Masters,transport-moving,yachting,not-in-family,0,-39700,2/10/2015,Vehicle Theft,?,Trivial Damage,None,NC,Springfield,17,1,?,2,1,NO,5040,BMW,X5,2004,0
218,328,6/19/1996,IL,500/1000,500,1314.6,0,458139,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0,2/23/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Hillsdale,0,1,?,2,3,?,51120,Saab,92x,1998,1
219,281,6/16/1993,OH,100/300,1000,1515.18,6000000,443191,MALE,College,priv-house-serv,camping,other-relative,0,0,1/9/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,21,3,NO,1,0,NO,41670,BMW,X6,1999,0
220,246,7/11/2001,OH,250/500,2000,1649.18,0,613647,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600,2/22/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,18,1,YES,1,2,YES,44640,Honda,Civic,2009,1
221,298,11/22/2008,OH,250/500,500,1451.01,0,460820,FEMALE,College,other-service,exercise,own-child,47800,0,2/21/2015,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,17,1,NO,2,2,NO,19670,Jeep,Grand Cherokee,2012,0
222,330,12/28/2002,IL,500/1000,1000,978.46,0,431121,FEMALE,High School,sales,yachting,husband,0,0,2/4/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,19,1,YES,0,0,NO,31220,Chevrolet,Silverado,1995,0
223,362,1/1/2006,IL,250/500,500,1198.34,4000000,619735,MALE,Associate,sales,board-games,wife,53000,-72500,1/7/2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,17,3,?,1,1,NO,44380,Mercedes,E400,1995,0
224,241,5/19/1990,IN,100/300,2000,1003.23,0,470485,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,1/17/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,23,3,?,0,3,YES,51920,Accura,MDX,2008,0
225,245,8/26/2013,IN,500/1000,2000,1212.0,0,620473,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,1/28/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,4,1,YES,0,1,YES,51450,Jeep,Wrangler,1999,0
226,371,10/12/1997,IL,250/500,1000,1242.96,7000000,449800,FEMALE,High School,other-service,paintball,own-child,0,-37100,2/22/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,2,2,YES,2,0,?,68400,Accura,RSX,2010,0
227,343,1/21/2002,IL,500/1000,1000,1053.02,0,602402,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,2/16/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,2,1,?,0,2,NO,30310,Toyota,Corolla,2005,1
228,377,9/2/1996,IL,100/300,500,1693.63,0,452456,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,2/17/2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,10,3,YES,1,3,NO,45920,Saab,93,2015,0
229,154,1/28/2010,IL,250/500,1000,2047.59,0,439269,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,1/9/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,2,1,?,0,3,NO,57840,Accura,MDX,2000,0
230,166,10/3/2014,OH,100/300,1000,1083.72,0,617774,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200,2/9/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,18,1,NO,0,2,YES,43920,Honda,CRV,2005,0
231,298,5/2/2007,OH,500/1000,1000,1138.42,6000000,477678,MALE,JD,prof-specialty,dancing,own-child,36900,-55000,2/16/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,18,1,NO,2,3,YES,24400,Volkswagen,Passat,2005,0
232,235,9/22/1990,IN,250/500,500,1072.62,0,444913,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,2/18/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,7,4,?,2,1,YES,55280,Toyota,Highlander,2006,0
233,172,9/19/2004,IL,100/300,2000,1219.04,0,456602,MALE,MD,handlers-cleaners,paintball,own-child,63600,-68700,1/11/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,19,3,?,2,0,NO,50750,Nissan,Pathfinder,1999,0
234,27,8/28/1995,IN,100/300,2000,1371.78,0,451560,MALE,JD,farming-fishing,polo,other-relative,0,-32500,2/4/2015,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,Riverwood,10,3,?,0,2,YES,37520,Audi,A5,2015,1
235,428,2/4/2004,IN,100/300,2000,1506.21,0,453407,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400,1/22/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,16,3,NO,1,0,?,57420,Nissan,Ultima,2009,0
236,99,7/23/2014,IN,100/300,1000,1058.21,3000000,618655,MALE,JD,craft-repair,golf,unmarried,0,0,1/10/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,17,1,YES,1,1,NO,31990,Dodge,RAM,1999,0
237,107,3/21/1997,IL,500/1000,2000,932.14,0,612550,MALE,MD,sales,cross-fit,own-child,40600,0,1/10/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,2,3,NO,2,3,NO,57200,Audi,A3,1996,1
238,272,5/6/1991,OH,500/1000,2000,1608.34,0,466718,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600,2/16/2015,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,19,1,?,1,1,?,51680,Saab,92x,2010,0
239,151,8/7/1992,IN,500/1000,1000,1728.56,0,617947,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0,2/8/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,0,1,YES,1,1,?,31770,Suburu,Legacy,1999,0
240,249,9/3/2013,IL,250/500,1000,1518.46,0,606238,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,1/26/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,16,1,?,0,0,YES,42800,Saab,92x,2015,0
241,177,1/5/2012,IL,100/300,2000,1540.19,0,463842,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500,2/1/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,20,1,YES,2,0,NO,58960,Chevrolet,Silverado,2001,1
242,190,1/27/2007,OH,500/1000,2000,965.21,0,610354,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700,2/2/2015,Parked Car,?,Trivial Damage,None,SC,Hillsdale,10,1,?,2,1,YES,5040,Nissan,Ultima,2001,0
243,174,10/14/2005,IL,100/300,2000,1278.75,0,461328,FEMALE,College,tech-support,paintball,own-child,53200,-53800,2/6/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,21,3,?,2,2,NO,43600,Dodge,RAM,2012,0
244,95,11/3/1990,OH,250/500,1000,773.99,0,458727,MALE,Associate,armed-forces,board-games,other-relative,0,-70300,1/1/2015,Vehicle Theft,?,Trivial Damage,None,PA,Springfield,3,1,YES,1,2,NO,2240,Mercedes,E400,2014,0
245,371,10/15/2005,IN,500/1000,1000,1532.47,0,452587,FEMALE,Associate,tech-support,golf,other-relative,60300,-24700,1/19/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,7,1,YES,0,3,YES,52780,Dodge,RAM,2012,1
246,2,5/22/1999,IL,250/500,1000,1340.56,0,433184,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0,1/17/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,19,1,YES,0,2,YES,45220,Saab,92x,2008,0
247,269,12/21/2002,OH,100/300,500,1297.75,4000000,451280,FEMALE,JD,other-service,chess,own-child,0,-41400,2/1/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,15,3,?,0,1,?,68310,Chevrolet,Tahoe,2010,1
248,101,2/10/2007,IL,250/500,1000,433.33,0,603269,MALE,Masters,machine-op-inspct,golf,other-relative,25900,0,1/2/2015,Parked Car,?,Minor Damage,None,SC,Hillsdale,7,1,?,0,3,NO,4130,Mercedes,E400,2009,0
249,94,3/1/2002,IN,250/500,2000,1025.54,0,442632,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600,2/20/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,19,1,?,1,3,YES,51280,Chevrolet,Malibu,2001,0
250,117,4/21/2003,OH,250/500,500,1264.77,0,447300,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500,2/5/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,13,2,YES,0,1,?,40320,Suburu,Forrestor,2009,1
251,111,9/22/2002,OH,250/500,500,1459.97,5000000,441783,MALE,MD,sales,yachting,other-relative,0,0,2/27/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,2,3,NO,1,2,NO,58800,Ford,F150,2011,1
252,242,2/10/1998,OH,100/300,500,1238.65,0,468702,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600,1/27/2015,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,5,1,YES,1,1,NO,6120,Saab,95,1998,0
253,440,9/1/1992,OH,250/500,500,1050.76,0,467942,MALE,PhD,transport-moving,movies,wife,41500,-70200,1/26/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,21,1,?,2,3,NO,41720,Nissan,Maxima,2004,1
254,20,5/1/1999,OH,500/1000,1000,1711.72,0,463678,FEMALE,JD,tech-support,base-jumping,wife,0,0,1/13/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,21,3,NO,2,2,NO,46000,Chevrolet,Tahoe,2002,1
255,461,12/19/1997,IL,100/300,500,865.33,7000000,615220,FEMALE,High School,farming-fishing,golf,own-child,0,0,1/14/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,7,3,NO,0,1,?,39360,Dodge,RAM,1995,0
256,208,6/18/2000,IL,250/500,500,1153.49,0,432711,MALE,Associate,craft-repair,base-jumping,other-relative,0,0,2/22/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,16,3,YES,1,0,YES,35350,Accura,TL,2004,0
257,279,4/24/1995,OH,500/1000,2000,1281.25,0,463583,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0,1/17/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,13,1,YES,0,1,NO,38460,Mercedes,C300,2010,1
258,244,6/16/2006,IL,100/300,500,1342.8,0,439502,FEMALE,MD,sales,base-jumping,husband,0,0,2/2/2015,Vehicle Theft,?,Trivial Damage,Police,NY,Springfield,2,1,YES,1,3,YES,4620,Toyota,Camry,2014,0
259,134,9/28/2007,OH,250/500,2000,1443.32,0,613287,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0,1/7/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,19,3,?,0,2,YES,37170,Suburu,Impreza,1995,1
260,122,11/21/1991,OH,250/500,1000,1629.94,0,620104,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100,2/2/2015,Parked Car,?,Trivial Damage,None,SC,Riverwood,17,1,?,0,1,NO,3150,Dodge,Neon,2014,0
261,156,9/21/1996,IL,100/300,2000,1134.08,0,446895,MALE,PhD,other-service,reading,husband,0,0,2/7/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,3,1,?,2,0,?,47200,Ford,Fusion,2013,1
262,232,5/16/2001,OH,250/500,500,1483.91,8000000,431531,MALE,College,machine-op-inspct,golf,husband,0,-33600,1/18/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,17,3,NO,0,1,?,49420,Volkswagen,Passat,2013,1
263,244,8/11/1999,IN,500/1000,2000,1304.67,7000000,605408,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000,1/10/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,5,3,?,1,1,?,44720,Dodge,RAM,2001,0
264,84,6/16/2003,IL,500/1000,2000,1035.79,0,457551,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500,1/30/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,9,1,NO,1,0,YES,41920,Volkswagen,Passat,2010,0
265,394,3/30/1999,IL,250/500,500,1401.2,0,619892,FEMALE,High School,craft-repair,movies,own-child,51500,0,1/25/2015,Vehicle Theft,?,Trivial Damage,Police,NC,Hillsdale,9,1,NO,1,0,NO,4770,Audi,A5,1999,0
266,246,2/3/1999,IL,250/500,1000,1665.45,0,445853,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100,1/29/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,9,3,?,2,2,?,35520,Toyota,Camry,2006,1
267,35,8/25/2011,IN,500/1000,2000,653.66,0,475483,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,2/24/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,22,3,NO,0,0,?,54810,BMW,X5,2009,0
268,156,6/28/2010,OH,100/300,500,1080.13,0,606290,MALE,Associate,protective-serv,reading,other-relative,0,-61000,1/4/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,15,3,YES,0,3,NO,32270,Nissan,Pathfinder,2001,0
269,195,11/6/2001,IN,100/300,2000,1346.18,0,611852,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300,2/25/2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,14,3,YES,2,3,YES,50160,Chevrolet,Tahoe,2007,0
270,369,4/15/2013,OH,250/500,2000,1589.54,0,444734,MALE,College,handlers-cleaners,camping,husband,55400,0,1/27/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,6,3,?,2,0,YES,59710,Toyota,Highlander,2003,0
271,271,12/7/1995,IL,100/300,1000,1251.65,0,433683,FEMALE,Associate,other-service,camping,wife,71200,0,2/19/2015,Parked Car,?,Minor Damage,None,NY,Hillsdale,6,1,NO,0,0,NO,2240,Audi,A3,2012,0
272,332,11/1/1991,IL,100/300,2000,1083.01,0,448882,MALE,MD,craft-repair,paintball,other-relative,91900,0,1/31/2015,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,22,4,YES,2,0,?,49680,Jeep,Grand Cherokee,2010,1
273,107,5/19/2014,OH,100/300,500,974.59,0,466838,FEMALE,JD,armed-forces,skydiving,wife,62800,0,1/18/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,14,3,?,1,0,NO,35820,Nissan,Ultima,2002,0
274,217,3/15/1992,IL,500/1000,2000,1399.85,0,605490,FEMALE,Masters,other-service,skydiving,other-relative,49900,-19800,1/10/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,16,3,NO,0,2,?,43280,Ford,Fusion,1997,0
275,243,2/3/2006,IN,500/1000,500,1307.74,0,466137,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700,1/28/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,10,3,?,0,1,NO,29190,Jeep,Wrangler,2008,0
276,296,3/16/2003,IN,250/500,2000,1219.27,0,466970,MALE,Associate,tech-support,paintball,husband,53100,-63400,2/16/2015,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,9,3,YES,1,2,NO,49840,Saab,93,2012,0
277,264,10/16/2002,OH,100/300,500,1411.3,0,474801,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0,2/8/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4,1,NO,1,0,?,43920,BMW,M5,2004,1
278,108,1/27/1990,IL,100/300,2000,694.45,0,450703,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,1/20/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,6,3,?,0,1,YES,46800,Nissan,Pathfinder,2011,1
279,32,3/11/2010,IL,100/300,500,1006.77,6000000,478172,FEMALE,College,other-service,sleeping,own-child,0,0,2/6/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,15,3,YES,2,1,YES,49630,BMW,X6,1997,0
280,259,9/19/1995,OH,250/500,1000,1422.36,0,604668,FEMALE,JD,craft-repair,movies,unmarried,0,-83900,1/24/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,12,3,NO,1,3,?,31040,Nissan,Ultima,2012,0
281,186,2/27/2010,IN,100/300,1000,1348.32,0,469429,FEMALE,Associate,craft-repair,cross-fit,wife,37600,-37600,1/14/2015,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,3,1,NO,2,1,?,3010,Chevrolet,Malibu,2013,1
282,201,12/28/1991,OH,250/500,2000,1315.56,0,471806,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0,2/18/2015,Vehicle Theft,?,Minor Damage,Police,SC,Northbrook,14,1,YES,0,0,YES,4340,Jeep,Grand Cherokee,2003,0
283,436,4/30/2002,OH,250/500,2000,1407.01,5000000,475705,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600,1/10/2015,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,10,1,?,0,2,?,41930,BMW,X5,1997,1
284,189,4/28/2007,OH,250/500,2000,1388.58,0,459122,FEMALE,MD,priv-house-serv,basketball,own-child,0,-49400,2/13/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,17,3,?,1,3,YES,53040,Ford,Escape,2009,0
285,105,7/8/1996,IL,500/1000,500,1310.76,0,476737,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900,2/17/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,8,1,YES,0,1,?,51120,Accura,MDX,2008,0
286,163,4/1/2002,IN,100/300,1000,1004.63,6000000,460359,MALE,JD,priv-house-serv,hiking,not-in-family,26900,0,1/7/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,14,3,YES,2,0,NO,46480,Suburu,Forrestor,1999,0
287,219,10/29/2006,OH,100/300,500,1134.91,0,452735,FEMALE,Associate,transport-moving,golf,not-in-family,68700,0,1/29/2015,Vehicle Theft,?,Trivial Damage,None,SC,Riverwood,6,1,?,1,0,NO,5120,Toyota,Camry,1997,0
288,88,10/25/2007,IN,250/500,1000,1194.0,0,613583,FEMALE,JD,handlers-cleaners,movies,husband,0,0,2/13/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,6,1,YES,1,2,YES,51940,Ford,Escape,2013,1
289,40,3/28/2001,IN,500/1000,1000,1248.25,4000000,605692,FEMALE,College,sales,hiking,own-child,0,-33300,2/1/2015,Parked Car,?,Minor Damage,Police,VA,Northbrook,8,1,NO,0,2,?,5840,BMW,3 Series,2013,0
290,284,5/4/1995,OH,100/300,500,1338.54,-1000000,438178,MALE,Associate,machine-op-inspct,kayaking,wife,0,0,1/29/2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,13,1,YES,0,1,?,68480,Chevrolet,Malibu,1996,0
291,59,9/28/2011,IL,250/500,2000,782.23,0,449221,MALE,College,protective-serv,golf,other-relative,64200,-32300,2/6/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,0,3,?,0,2,NO,34380,BMW,X5,2010,0
292,39,1/28/2003,IL,250/500,2000,1366.9,0,459322,FEMALE,High School,handlers-cleaners,polo,husband,0,-15700,1/28/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,14,3,?,1,0,NO,31620,BMW,X6,2014,1
293,147,2/1/2011,IL,500/1000,1000,1275.81,0,472657,MALE,High School,sales,dancing,wife,0,-48300,1/21/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,13,1,YES,2,2,?,69930,Mercedes,ML350,1998,0
294,156,2/9/1993,IN,250/500,500,1090.65,0,608331,MALE,High School,exec-managerial,golf,unmarried,0,-51800,1/16/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,16,4,?,1,2,YES,42720,Honda,Civic,2010,1
295,123,8/5/2005,IN,250/500,500,1326.0,0,438546,FEMALE,Associate,prof-specialty,basketball,wife,0,-54600,2/17/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,13,1,?,1,2,NO,48080,Mercedes,ML350,2009,0
296,231,6/17/2006,IL,250/500,2000,972.47,0,441981,MALE,College,protective-serv,reading,wife,0,-58100,2/1/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,15,3,YES,2,2,YES,53970,Audi,A3,2010,0
297,247,12/7/1993,IL,100/300,500,806.31,0,602177,FEMALE,College,handlers-cleaners,dancing,wife,0,0,2/25/2015,Parked Car,?,Trivial Damage,Police,SC,Northbend,3,1,?,2,3,?,2700,Dodge,RAM,2003,0
298,194,3/14/2012,IL,500/1000,500,1416.24,0,441659,FEMALE,MD,adm-clerical,golf,not-in-family,0,0,2/26/2015,Parked Car,?,Minor Damage,None,WV,Northbend,7,1,YES,1,0,?,4320,Nissan,Pathfinder,2003,0
299,119,8/5/1997,IN,250/500,2000,1097.64,0,614812,MALE,High School,transport-moving,video-games,other-relative,27100,0,2/6/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,16,2,NO,1,0,?,35400,Accura,TL,2006,0
300,259,7/5/2009,IL,100/300,500,947.75,0,458470,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-39300,2/3/2015,Vehicle Theft,?,Trivial Damage,Police,SC,Riverwood,15,1,NO,1,3,NO,5760,Audi,A5,2008,0
301,107,11/25/1994,IL,100/300,2000,1018.73,5000000,469646,MALE,Associate,handlers-cleaners,yachting,own-child,20000,-82700,1/27/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,21,3,YES,1,2,?,57680,Honda,CRV,2001,0
